depot,fleet_size,mode,configuration,metric,n,mean,standard_deviation,bootstrap_ci95_low,bootstrap_ci95_high
depot_a,32,altruistic,rule_text_event_trigger,mode_aligned_economic_score,3,-453.10715889826923,6.961868572213853e-14,-453.10715889826923,-453.10715889826923
depot_a,32,altruistic,rule_text_event_trigger,run_wall_seconds,3,19.177457999999998,0.13030846029709642,19.049703,19.310178
depot_a,32,altruistic,rule_text_event_trigger,run_process_cpu_seconds,3,51.421875,0.23333100817293873,51.25,51.6875
depot_a,32,altruistic,rule_text_event_trigger,run_peak_rss_mb,3,761.6419999999999,9.978260569858858,752.9140000000001,772.52
depot_a,32,altruistic,rule_text_event_trigger,llm_latency_seconds,3,0.0,0.0,0.0,0.0
depot_a,32,altruistic,rule_text_event_trigger,llm_total_tokens,3,0.0,0.0,0.0,0.0
depot_a,32,altruistic,rule_text_event_trigger,llm_approximate_cost_usd,3,0.0,0.0,0.0,0.0
depot_a,32,altruistic,rule_text_event_trigger,optimizer_latency_seconds_mean,3,8.519964666666667,0.06431651314074292,8.454704,8.5832935
depot_a,32,altruistic,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,24.65625,0.11666550408646936,24.5703125,24.7890625
depot_a,32,altruistic,rule_text_event_trigger,solver_wall_seconds_mean,3,4.083572333333333,0.03848394008002978,4.0421895,4.1182855
depot_a,32,altruistic,rule_text_event_trigger,solver_wall_seconds_max,3,4.732145,0.051411246201584805,4.674229,4.772391
depot_a,32,altruistic,rule_text_event_trigger,solver_model_variables_max,3,76068.0,0.0,76068.0,76068.0
depot_a,32,altruistic,rule_text_event_trigger,solver_model_constraints_max,3,41263.0,0.0,41263.0,41263.0
depot_a,32,altruistic,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,32,altruistic,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_a,32,selfish,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,32,selfish,full_agentic,mode_aligned_economic_score,3,125.5528408020815,0.0,125.5528408020815,125.5528408020815
depot_a,32,selfish,full_agentic,run_wall_seconds,3,78.64841933333334,1.6880883751374907,77.165197,80.48533
depot_a,32,selfish,full_agentic,run_process_cpu_seconds,3,22.265625,0.19008632907181935,22.140625,22.484375
depot_a,32,selfish,full_agentic,run_peak_rss_mb,3,724.7123333333334,0.2095383815279026,724.5120000000001,724.93
depot_a,32,selfish,full_agentic,llm_latency_seconds,3,62.45191066666666,1.5259553201746525,60.927494,63.9794
depot_a,32,selfish,full_agentic,llm_total_tokens,3,217539.33333333334,263.4052644373938,217249.0,217763.0
depot_a,32,selfish,full_agentic,llm_approximate_cost_usd,3,0.04658138666666667,0.002450036045313074,0.04501792000000001,0.04940502
depot_a,32,selfish,full_agentic,optimizer_latency_seconds_mean,3,7.021829333333333,0.16432357507851209,6.845387499999998,7.170494000000001
depot_a,32,selfish,full_agentic,optimizer_process_cpu_seconds_mean,3,9.473958333333334,0.1272582471132356,9.328125,9.5625
depot_a,32,selfish,full_agentic,solver_wall_seconds_mean,3,2.357852333333333,0.0653773393469276,2.3129925,2.4328645
depot_a,32,selfish,full_agentic,solver_wall_seconds_max,3,2.4618646666666666,0.08168033837058555,2.397591,2.553779
depot_a,32,selfish,full_agentic,solver_model_variables_max,3,76068.0,0.0,76068.0,76068.0
depot_a,32,selfish,full_agentic,solver_model_constraints_max,3,41263.0,0.0,41263.0,41263.0
depot_a,32,selfish,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,32,selfish,full_agentic,solver_iterations_max,0,,0.0,,
depot_a,32,selfish,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_a,32,selfish,rule_text_event_trigger,mode_aligned_economic_score,3,125.3882060946262,0.0,125.3882060946262,125.3882060946262
depot_a,32,selfish,rule_text_event_trigger,run_wall_seconds,3,15.943632999999998,0.12312929067041671,15.805482,16.041804
depot_a,32,selfish,rule_text_event_trigger,run_process_cpu_seconds,3,25.8125,0.078125,25.734375,25.890625
depot_a,32,selfish,rule_text_event_trigger,run_peak_rss_mb,3,673.6823333333333,0.5618267823211802,673.035,674.043
depot_a,32,selfish,rule_text_event_trigger,llm_latency_seconds,3,0.0,0.0,0.0,0.0
depot_a,32,selfish,rule_text_event_trigger,llm_total_tokens,3,0.0,0.0,0.0,0.0
depot_a,32,selfish,rule_text_event_trigger,llm_approximate_cost_usd,3,0.0,0.0,0.0,0.0
depot_a,32,selfish,rule_text_event_trigger,optimizer_latency_seconds_mean,3,6.884265,0.05035631238484396,6.839392,6.938726
depot_a,32,selfish,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,11.8359375,0.028168369339562415,11.8125,11.8671875
depot_a,32,selfish,rule_text_event_trigger,solver_wall_seconds_mean,3,2.421365833333333,0.011073665002307711,2.408852,2.4298985
depot_a,32,selfish,rule_text_event_trigger,solver_wall_seconds_max,3,2.444214333333333,0.016627369375019393,2.432486,2.463243
depot_a,32,selfish,rule_text_event_trigger,solver_model_variables_max,3,76068.0,0.0,76068.0,76068.0
depot_a,32,selfish,rule_text_event_trigger,solver_model_constraints_max,3,41263.0,0.0,41263.0,41263.0
depot_a,32,selfish,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_a,32,selfish,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_b,8,altruistic,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_b,8,altruistic,full_agentic,mode_aligned_economic_score,3,-190.18971509666835,0.17653096270331714,-190.29163529550542,-189.9858746989942
depot_b,8,altruistic,full_agentic,run_wall_seconds,3,85.65304566666667,3.3717724936244324,81.761176,87.693122
depot_b,8,altruistic,full_agentic,run_process_cpu_seconds,3,14.3125,0.338381372307933,14.0,14.671875
depot_b,8,altruistic,full_agentic,run_peak_rss_mb,3,349.603,2.293080242817498,347.012,351.3709999999999
depot_b,8,altruistic,full_agentic,llm_latency_seconds,3,73.51245,3.1964758261202246,69.858151,75.789079
depot_b,8,altruistic,full_agentic,llm_total_tokens,3,128862.66666666667,1769.4751575914631,127271.0,130768.0
depot_b,8,altruistic,full_agentic,llm_approximate_cost_usd,3,0.02672846,0.0016043965793094929,0.02545493,0.02853042
depot_b,8,altruistic,full_agentic,optimizer_latency_seconds_mean,3,3.4358463333333336,0.10988237157726607,3.3681750000000004,3.5626313333333335
depot_b,8,altruistic,full_agentic,optimizer_process_cpu_seconds_mean,3,3.769097222222222,0.09145532771573574,3.6822916666666665,3.8645833333333335
depot_b,8,altruistic,full_agentic,solver_wall_seconds_mean,3,0.16728933333333332,0.005245533253265177,0.1634153333333333,0.1732586666666666
depot_b,8,altruistic,full_agentic,solver_wall_seconds_max,3,0.24800333333333333,0.01107787508204227,0.240131,0.260671
depot_b,8,altruistic,full_agentic,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_b,8,altruistic,full_agentic,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_b,8,altruistic,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_b,8,altruistic,full_agentic,solver_iterations_max,0,,0.0,,
depot_b,8,altruistic,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_b,8,altruistic,rule_text_event_trigger,mode_aligned_economic_score,3,-188.86329700317773,3.4809342861069267e-14,-188.86329700317773,-188.86329700317773
depot_b,8,altruistic,rule_text_event_trigger,run_wall_seconds,3,8.448623,0.06810727230626641,8.370259,8.493542
depot_b,8,altruistic,rule_text_event_trigger,run_process_cpu_seconds,3,9.411458333333334,0.14518083192464953,9.3125,9.578125
depot_b,8,altruistic,rule_text_event_trigger,run_peak_rss_mb,3,282.5743333333333,15.222654050241472,265.07,292.715
depot_b,8,altruistic,rule_text_event_trigger,llm_latency_seconds,3,0.0,0.0,0.0,0.0
depot_b,8,altruistic,rule_text_event_trigger,llm_total_tokens,3,0.0,0.0,0.0,0.0
depot_b,8,altruistic,rule_text_event_trigger,llm_approximate_cost_usd,3,0.0,0.0,0.0,0.0
depot_b,8,altruistic,rule_text_event_trigger,optimizer_latency_seconds_mean,3,3.3885039999999997,0.02551313591564157,3.3590745,3.40438
depot_b,8,altruistic,rule_text_event_trigger,optimizer_process_cpu_seconds_mean,3,3.875,0.05898308152555273,3.8203125,3.9375
depot_b,8,altruistic,rule_text_event_trigger,solver_wall_seconds_mean,3,0.19930716666666667,0.0012060466754372878,0.19834,0.2006585
depot_b,8,altruistic,rule_text_event_trigger,solver_wall_seconds_max,3,0.20919600000000002,0.0018372318852012163,0.207136,0.210665
depot_b,8,altruistic,rule_text_event_trigger,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_b,8,altruistic,rule_text_event_trigger,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_b,8,altruistic,rule_text_event_trigger,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_b,8,altruistic,rule_text_event_trigger,solver_iterations_max,0,,0.0,,
depot_b,8,selfish,full_agentic,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_b,8,selfish,full_agentic,mode_aligned_economic_score,3,34.05830081072971,0.7170952711147032,33.64428566291703,34.88633110635507
depot_b,8,selfish,full_agentic,run_wall_seconds,3,79.65243,4.420745153794891,75.953054,84.548255
depot_b,8,selfish,full_agentic,run_process_cpu_seconds,3,13.010416666666666,0.37510849125064244,12.734375,13.4375
depot_b,8,selfish,full_agentic,run_peak_rss_mb,3,343.70300000000003,0.984796933382708,342.64799999999997,344.598
depot_b,8,selfish,full_agentic,llm_latency_seconds,3,67.85293566666667,4.629913814036751,64.304439,73.090164
depot_b,8,selfish,full_agentic,llm_total_tokens,3,130281.33333333333,1609.5988112984344,129033.0,132098.0
depot_b,8,selfish,full_agentic,llm_approximate_cost_usd,3,0.026564393333333335,0.0007709331800054606,0.02577573,0.02731628
depot_b,8,selfish,full_agentic,optimizer_latency_seconds_mean,3,3.3395735555555555,0.11070094633055987,3.2623043333333333,3.4663943333333336
depot_b,8,selfish,full_agentic,optimizer_process_cpu_seconds_mean,3,3.3489583333333335,0.08267972847076846,3.2864583333333335,3.4427083333333335
depot_b,8,selfish,full_agentic,solver_wall_seconds_mean,3,0.10608622222222218,0.004316070413560815,0.10166399999999991,0.1102876666666666
depot_b,8,selfish,full_agentic,solver_wall_seconds_max,3,0.14654266666666668,0.0055595429068704336,0.140344,0.151088
depot_b,8,selfish,full_agentic,solver_model_variables_max,3,5220.0,0.0,5220.0,5220.0
depot_b,8,selfish,full_agentic,solver_model_constraints_max,3,3454.0,0.0,3454.0,3454.0
depot_b,8,selfish,full_agentic,solver_branch_and_bound_nodes_max,0,,0.0,,
depot_b,8,selfish,full_agentic,solver_iterations_max,0,,0.0,,
depot_b,8,selfish,rule_text_event_trigger,operationally_feasible,3,1.0,0.0,1.0,1.0
depot_b,8,selfish,rule_text_event_trigger,mode_aligned_economic_score,3,35.16990837319755,0.0,35.16990837319755,35.16990837319755
depot_b,8,selfish,rule_text_event_trigger,run_wall_seconds,3,8.243691,0.09811530827042227,8.145718,8.341948
depot_b,8,selfish,rule_text_event_trigger,run_process_cpu_seconds,3,8.317708333333334,0.09547032697824666,8.234375,8.421875
